Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 22.815, 971.452, 7112.922, 2.8134058702e+17, 2690254432.0, 2.81340586782e+17, 1.92518605049, 19.6902241716, 3.23212367981e-08, 8.58649288037e+15, 7410169.95053
T0.3_v1000_chi300_cond, 36.084, 912.943, 7305.873, 1.14053511159e+17, 1416515808.0, 1.14053510948e+17, 0.725886674699, 11.8710190274, 1.5797769537e-08, 6.50765923957e+15, 23211399.0
T0.3_v1000_chi300_cond, 61.264, 869.724, 9198.408, 1.09177767644e+17, 977489328.0, 1.09177767507e+17, 1.09987950704, 22.8378906154, 1.86035702399e-08, 4.73494606126e+15, 24674463.8868
T0.3_v1000_chi300_cond, 110.308, 777.661, 10704.644, 3.72416532581e+16, 329005600.0, 3.72416532432e+16, 0.517112841691, 21.4537059211, 8.13072376094e-09, 2.66626890934e+15, 2821614.5
T3_v3000_chi3000_cond, 21.406, 62.052, 13468.415, 1.53542042443e+16, 1.10720991081e+13, 1.53542042327e+16, 0.0195054308859, 44.788133871, 1.1442027221e-06, 7.18548683733e+15, 3632271.0
T3_v3000_chi3000_cond, 14.452, 36.049, 109716.496, 7.31714389089e+17, 13604381568.0, 7.31714389085e+17, 6.00759933039, 24.654837449, 0.000143845416718, 1.25256820449e+16, 38242662.143
T3_v3000_chi3000_cond, 43.461, 80.191, 14984.633, 1.61088403568e+17, 1651876640.0, 1.61088402337e+17, 1.15558518229, 17.2583526695, 2.26341070331e-08, 6.76587112371e+15, 40039711.5384
T3_v3000_chi3000_cond, 39.247, 73.23, 14687.991, 1.18513755998e+18, 40035139584.0, 1.18513755995e+18, 14.060993374, 17.1870580506, 0.263433663223, 1.54957919653e+16, 184040084.808
T1_v1700_chi1000_cond, 13.902, 118.863, 12104.168, 2.19674001643e+16, 1.21231722263e+12, 2.19673999012e+16, 0.0377795465058, 33.3372045556, 3.89322474467e-08, 7.63097801939e+15, 2746225.0
T1_v1700_chi1000_cond, 21.81, 116.996, 11326.607, 1.18223130956e+17, 966665952.0, 1.18223130944e+17, 0.613524587689, 28.6054739988, 9.27107957072e-09, 7.54824233793e+15, 73350615.0
T1_v1700_chi1000_cond, 27.238, 143.556, 10774.895, 5.67305965609e+17, 8574008000.0, 5.67305965601e+17, 6.03239289366, 22.2744586503, 1.35961274585e-05, 9.69527430118e+15, 31115403.2551
T1_v1700_chi1000_cond, 36.468, 107.24, 9861.17, 3.82951705381e+17, 5971670080.0, 3.82951705365e+17, 6.89421420835, 15.1679243804, 0.00046960433152, 6.21515202982e+15, 6472.99169452
T0.3_v1000_chi300, 108.631, 787.568, 14380.183, 4.29170917775e+16, 3838822376.0, 4.29170917744e+16, 0.220069706149, 31.9933290385, 3.21540663539e-09, 5.39990802598e+15, 20708166.0
T0.3_v1000_chi300, 143.983, 679.045, 14973.548, 4.05159250093e+16, 20610703984.0, 4.05159249445e+16, 0.245021392899, 33.9212612675, 4.63678885843e-08, 4.75594763125e+15, 14648548.0
T0.3_v1000_chi300, 158.933, 637.0, 14802.559, 3.31519507086e+16, 7834573276.0, 3.31519493734e+16, 0.205957492505, 15.5871022907, 2.47307344048e-09, 4.35247480732e+15, 18930625.5
T0.3_v1000_chi300, 204.466, 613.218, 18097.841, 9.62571326005e+15, 1.24541983681e+13, 9.62569250141e+15, 0.0652840042917, 27.5871227635, 2.09983284927e-09, 2.51476208967e+15, 29358363.0
T3_v3000_chi3000, 78.567, 226.852, 13304.491, 5.69820248571e+16, 264078424224.0, 5.69820247991e+16, 0.318986738811, 29.5389153706, 1.14044197419e-08, 5.62785835123e+15, 17192215.0
T3_v3000_chi3000, 113.605, 175.499, 14487.434, 4.22508088638e+16, 33559151408.0, 4.22508083077e+16, 0.307637279996, 30.4113713022, 5.55081541842e-09, 4.27377877305e+15, 11828433.5
