Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 30.974, 15.276, 5570.371, 8.48413245577e+15, 81352236.0, 8.48413242871e+15, 1.60500159298, 18.5104497023, 3.31994962632e-08, 2.8930300943e+14, 2926058.0465
T0.3_v1000_chi300_cond, 37.679, 36.896, 5167.951, 4.86989174455e+15, 46999181.0, 4.86989108141e+15, 0.880307631849, 11.1755494465, 1.16330690636e-08, 2.44438569064e+14, 3533244.25092
T0.3_v1000_chi300_cond, 59.27, 45.149, 8029.439, 3.03481646243e+15, 20736134.5, 3.03481215598e+15, 1.60531016875, 7.48914388474, 1.815828643e-08, 1.03472802674e+14, 1043652.45945
T0.3_v1000_chi300_cond, 110.171, 99.171, 9745.443, 6.04031236871e+14, 4771574.75, 6.04030146316e+14, 0.551547787855, 10.2418107867, 5.42822742311e-09, 4.14171382233e+13, 88511.3125
T3_v3000_chi3000_cond, 17.454, 33.464, 11683.147, 1.89406998571e+14, 71947257003.4, 1.894063286e+14, 0.0213554314115, 25.9727740257, 3.39617476502e-10, 8.53660009728e+13, 41316.015625
T3_v3000_chi3000_cond, 11.63, 40.602, 21445.26, 3.21058868996e+14, 2860158.1875, 3.21057967892e+14, 3.77284311957, 4.88151214684, 7.84579108348e-08, 6.76918151993e+12, 40.5750308198
T3_v3000_chi3000_cond, 44.709, 45.182, 10241.119, 2.31331000815e+15, 51032618.5, 2.31330987856e+15, 1.36038768284, 24.4117392027, 3.51283178102e-08, 8.75077434745e+13, 1186998.10171
T3_v3000_chi3000_cond, 39.163, 47.085, 13328.676, 1.20087450961e+16, 261354416.0, 1.20087448977e+16, 14.1421858816, 13.0834358407, 0.0609208491433, 1.56801633772e+14, 1985276.46516
T1_v1700_chi1000_cond, 13.488, 23.851, 11381.687, 2.59545443255e+14, 4604935402.97, 2.59545418033e+14, 0.0349736129986, 41.8241915794, 5.21539746806e-09, 9.36076744288e+13, 35167.140625
T1_v1700_chi1000_cond, 26.645, 26.275, 7219.168, 2.82535809919e+15, 16988866.0, 2.82526413558e+15, 0.762283919643, 7.25625916149, 7.66488739146e-09, 1.56036492727e+14, 365125.53125
T1_v1700_chi1000_cond, 30.3, 30.995, 9258.572, 1.17013933571e+16, 154889446.0, 1.17013933336e+16, 7.28972142344, 17.2075127746, 1.56060370937e-06, 1.86054753649e+14, 445.646382987
T1_v1700_chi1000_cond, 38.175, 31.953, 8717.93, 7.70432177469e+15, 104303202.0, 7.70432150016e+15, 7.79567423398, 14.2607070535, 5.07612826617e-06, 1.19615889361e+14, 764.272384146
T0.3_v1000_chi300, 98.278, 57.816, 10100.0, 1.52267508159e+15, 49888917.0, 1.52267506538e+15, 0.798310476337, 30.4684304788, 1.52524279873e-08, 8.15484738711e+13, 116049.109375
T0.3_v1000_chi300, 126.43, 78.445, 10001.275, 1.13884401534e+15, 20933972.5, 1.13884388184e+15, 0.529165114978, 24.1236530075, 5.87667914331e-09, 8.02855578931e+13, 107245.5
T0.3_v1000_chi300, 137.068, 68.734, 9684.14, 7.23403504439e+14, 7508712.125, 7.23403322784e+14, 0.319910031393, 20.2615105475, 4.24644014396e-09, 7.13111712867e+13, 219933.65625
T0.3_v1000_chi300, 193.583, 113.611, 11874.302, 1.41830713199e+14, 597367150276.0, 1.41830240764e+14, 0.101877919812, 28.0195565359, 2.22675439199e-09, 2.87446812625e+13, 246052.511719
T3_v3000_chi3000, 69.531, 66.485, 8977.446, 2.58114097327e+15, 22585334.5, 2.58114093681e+15, 1.23385936193, 24.6928979753, 2.11045296794e-08, 1.0392324202e+14, 541581.615155
T3_v3000_chi3000, 91.196, 66.466, 8571.96, 2.01835212194e+15, 9929526.5, 2.01835175735e+15, 0.885089303625, 18.2022867022, 7.34315774853e-09, 1.00946579691e+14, 1311056.22181
T3_v3000_chi3000, 92.202, 63.547, 9124.417, 1.51555305231e+15, 14539857.0, 1.51555257776e+15, 0.937147459622, 16.0446519436, 1.16535746608e-08, 7.29934480206e+13, 868220.715324
T3_v3000_chi3000, 113.624, 80.633, 10345.847, 4.42153089554e+14, 3272136.8125, 4.42153069858e+14, 0.406728681006, 24.0504305842, 5.50210615957e-09, 3.71669693843e+13, 379812.53125
T1_v1700_chi1000, 81.2, 69.129, 9592.323, 3.63355851082e+15, 32002818.5, 3.63355769737e+15, 2.46777932486, 10.3984977867, 6.30893453035e-08, 9.59582372434e+13, 60178.7372717
T1_v1700_chi1000, 107.643, 83.049, 9830.511, 2.49196957326e+15, 18514252.0, 2.49194453657e+15, 1.65014249831, 7.12786638724, 2.13024207163e-08, 8.35298525318e+13, 554675.336851
T1_v1700_chi1000, 119.204, 70.938, 10004.481, 1.350620736e+15, 10770349.0, 1.35062055483e+15, 0.986722359753, 15.8897293469, 1.64683283677e-08, 6.28817552619e+13, 643076.94093
T1_v1700_chi1000, 125.07, 83.626, 10854.393, 3.62494128402e+14, 1885074.125, 3.6247682016e+14, 0.347276032481, 4.29386588674, 2.81777856603e-09, 3.38457980373e+13, 149017.289062
HC_v1000_chi300_cond, 166.436, 106.534, 10122.307, 2.43868106207e+15, 792984287460.0, 2.43868105103e+15, 0.0325253517773, 43.9207846165, 1.75980078309e-06, 9.10544327298e+14, 355830.125
HC_v1000_chi300_cond, 178.671, 122.105, 10200.092, 1.66534329396e+15, 1.8557171445e+12, 1.66534323438e+15, 0.0223478308431, 35.4606553582, 3.13218989221e-07, 7.36257641709e+14, 348542.75
HC_v1000_chi300_cond, 254.25, 196.234, 10852.24, 1.60552430668e+15, 1.55879942264e+12, 1.60552210564e+15, 0.0475439829412, 42.7764243787, 1.35301765208e-08, 4.96735567397e+14, 6911200.75
