Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 27.879, 966.335, 216910.907, 3.79156854211e+13, 435246.351562, 3.78836080892e+13, 1.45161059427, 4.18799247614, 1.9025951925e-08, 1.37661116832e+12, 13966.3818573
T0.3_v1000_chi300_cond, 44.139, 904.463, 284500.585, 3.20785910989e+13, 334018.316406, 3.20780165402e+13, 1.31981027654, 14.9516742436, 2.70534865621e-08, 1.23707338114e+12, 5163.68511606
T0.3_v1000_chi300_cond, 82.401, 848.527, 245729.54, 2.19894393322e+13, 336769.730469, 2.19884797338e+13, 0.675424189652, 10.4114105044, 7.03142999381e-09, 1.31652193506e+12, 7674.63916016
T0.3_v1000_chi300_cond, 129.522, 758.297, 227861.085, 3.624925212e+13, 420894.257812, 3.62489595133e+13, 0.755919512293, 14.5921013059, 1.2795156934e-08, 2.01315460016e+12, 5097.09643555
T3_v3000_chi3000_cond, 29.058, 255.399, 219435.74, 1.18796406781e+14, 8450968951.77, 1.1879522034e+14, 0.199338678417, 26.8920225774, 3.46599754453e-09, 1.5925587324e+13, 73223.8144531
T3_v3000_chi3000_cond, 50.734, 160.123, 201689.022, 5.51427944859e+17, 14758128640.0, 5.51427944849e+17, 11.6370487757, 18.975525831, 0.0111388561612, 7.56467848323e+15, 9923813.71603
T3_v3000_chi3000_cond, 53.058, 154.252, 213084.684, 2.90751775677e+14, 4171334.6875, 2.90751754349e+14, 0.706631460707, 19.7403413158, 1.10969603506e-08, 1.68900566798e+13, 73444.0429688
T3_v3000_chi3000_cond, 68.26, 197.036, 256416.221, 5.40493563531e+14, 8843412.125, 5.40492667543e+14, 10.4919543572, 5.80137675315, 4.62498941705e-05, 7.63317467863e+12, 2758.60554561
T1_v1700_chi1000_cond, 7.021, 1580.652, 215856.419, 7.90146180958e+13, 3227245.8125, 7.89776396117e+13, 0.28982657309, 4.75259658652, 2.5371290624e-09, 8.31213490064e+12, 21313.3134766
T1_v1700_chi1000_cond, 29.653, 1566.618, 207058.425, 1.32986717284e+14, 1696725.32812, 1.32974311269e+14, 0.733836328096, 8.43044693433, 1.1114524745e-08, 7.53302070817e+12, 24644.5263672
T1_v1700_chi1000_cond, 27.811, 1474.043, 214387.716, 9.90867599251e+13, 775424.65625, 9.90829371403e+13, 1.6420578791, 9.51313113515, 2.01586929371e-08, 3.33142950615e+12, 23913.766838
T1_v1700_chi1000_cond, 28.033, 1555.721, 229623.298, 5.96944866717e+13, 727725.257812, 5.96921137519e+13, 6.42641481618, 5.15640976851, 1.52815468724e-07, 9.95061609655e+11, 6793.47158363
T0.3_v1000_chi300, 179.615, 720.219, 208131.95, 3.64963965121e+13, 1.8115794615e+12, 3.64962082371e+13, 0.0110818574455, 31.8736555973, 3.31396699846e-07, 2.10807972647e+13, 13679.546875
T0.3_v1000_chi300, 236.998, 594.281, 207253.39, 4.12195014414e+13, 4.19556223998e+12, 4.12192592662e+13, 0.00962171838838, 37.9349345712, 5.34454872726e-07, 2.49289554574e+13, 17091.2929688
T0.3_v1000_chi300, 266.66, 539.817, 208551.777, 5.62853380358e+13, 1.51287028071e+13, 5.62850945064e+13, 0.0168236260195, 39.1577794571, 7.13439080958e-06, 2.79450004265e+13, 15137.765625
T0.3_v1000_chi300, 280.679, 540.63, 210519.569, 4.4960165301e+13, 51909588103.0, 4.49563953998e+13, 0.0235386343839, 26.1992651413, 3.48727866029e-10, 1.94382276458e+13, 8969.97265625
T3_v3000_chi3000, 162.873, 366.161, 205585.919, 3.68081720893e+13, 5.99794995233e+12, 3.68060720239e+13, 0.0163577695521, 29.9996455149, 6.23950715088e-08, 1.84751672993e+13, 10137.453125
T3_v3000_chi3000, 182.935, 235.178, 203933.496, 1.01258487553e+14, 47475842246.8, 1.01258344223e+14, 0.0876717719176, 38.5479574303, 7.4139559908e-09, 2.24029953674e+13, 215629.699219
T3_v3000_chi3000, 197.621, 207.208, 204423.097, 8.00683872442e+13, 517319122865.0, 8.00653762693e+13, 0.0360447462127, 28.9662623715, 8.37674676846e-09, 2.84593336605e+13, 10515.2382812
T3_v3000_chi3000, 196.437, 343.592, 203687.301, 3.63486756838e+13, 480738853395.0, 3.63478474328e+13, 0.0570059638406, 28.4356158645, 2.66809699889e-08, 1.0221485437e+13, 128993.373047
T1_v1700_chi1000, 162.707, 1396.314, 205514.418, 3.52382850272e+13, 3.19881649768e+12, 3.52379597002e+13, 0.0165747454773, 44.5344222457, 2.92763966984e-05, 1.75971543481e+13, 9597.5546875
T1_v1700_chi1000, 193.415, 1294.141, 204225.097, 5.09080235114e+13, 396695535301.0, 5.04907404418e+13, 0.0174108576714, 18.9388794716, 3.53489029714e-10, 2.49372494447e+13, 13296.3007812
T1_v1700_chi1000, 220.805, 1244.515, 204343.567, 7.74294614178e+13, 576939467066.0, 7.74293627707e+13, 0.0288900068803, 41.3501005982, 9.79372452557e-07, 3.05520027301e+13, 12709.3710938
T1_v1700_chi1000, 201.292, 1318.119, 203836.423, 6.83811940397e+13, 229254851583.0, 6.83716604655e+13, 0.0566928923351, 23.7597399957, 1.40062843962e-09, 1.92860358678e+13, 244132.566406
HC_v1000_chi300_cond, 290.406, 543.699, 228245.101, 2.2698565937e+14, 8.26895401028e+13, 2.26984831204e+14, 0.0230078793612, 35.9671436724, 3.97311232682e-06, 9.91072814948e+13, 46251.8125
