Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 51.391, 942.869, 567614.879, 1.80479213646e+14, 2464149.96875, 1.80476838632e+14, 1.57569943993, 11.6601677312, 3.40776571406e-08, 6.22498603296e+12, 78299.5209549
T0.3_v1000_chi300_cond, 62.124, 886.753, 780768.309, 1.98126699743e+14, 1913094.5, 1.98126586437e+14, 0.966998458647, 19.6290146021, 1.10650670848e-08, 9.34747401894e+12, 121004.685381
T0.3_v1000_chi300_cond, 108.076, 823.157, 795625.806, 1.01079394463e+14, 176434941.828, 1.01076552152e+14, 0.529791078286, 14.9691886716, 6.07940209285e-09, 7.12019521361e+12, 9629.27929688
T0.3_v1000_chi300_cond, 172.223, 715.885, 681237.362, 1.56012279798e+14, 105459576.031, 1.56012033265e+14, 0.623427552121, 13.6697510442, 1.13459560636e-08, 9.85477289745e+12, 100782.851562
T3_v3000_chi3000_cond, 26.957, 2716.906, 368292.176, 6.14202601457e+14, 4468205381.38, 6.14202249955e+14, 0.173529481079, 18.7147720605, 2.63815425061e-09, 8.99043126987e+13, 493038.25
T3_v3000_chi3000_cond, 50.364, 504.144, 263274.031, 1.28050594794e+18, 55360795904.0, 1.28050594792e+18, 9.67651314713, 24.6265179895, 0.00131295472024, 1.85250821425e+16, 2345217.80163
T3_v3000_chi3000_cond, 50.745, 376.384, 366383.009, 1.40899429806e+15, 13162503.0, 1.40899247917e+15, 0.631413615863, 7.15569391811, 7.19130466287e-09, 8.82463886337e+13, 1274587.3125
T3_v3000_chi3000_cond, 62.414, 537.102, 386940.85, 3.52300911663e+15, 46856517.0, 3.52300866791e+15, 7.57656062367, 9.35067749971, 1.89746313772e-07, 5.52480170531e+13, 233.381901132
T1_v1700_chi1000_cond, 9.48, 1577.86, 362383.522, 4.34823999551e+14, 466026290.688, 4.3482085037e+14, 0.297801342268, 14.2233845781, 4.46948994481e-09, 4.49340717339e+13, 117757.59375
T1_v1700_chi1000_cond, 27.895, 1567.848, 364212.451, 5.85128772758e+14, 23492746.625, 5.85127787028e+14, 0.705435656902, 10.6862570288, 7.86565090838e-09, 3.40291666683e+13, 149731.386719
T1_v1700_chi1000_cond, 27.025, 1474.182, 389516.666, 4.39594436982e+14, 4838933.875, 4.39593187671e+14, 1.36923824967, 12.0471812056, 2.35825918793e-08, 1.65606439714e+13, 216499.437056
T1_v1700_chi1000_cond, 26.274, 1556.873, 426585.585, 4.11680257102e+14, 3667842.75, 4.11676717952e+14, 6.25470778139, 6.88128071819, 1.55732911011e-07, 6.93532139998e+12, 34367.8099678
T0.3_v1000_chi300, 194.963, 707.352, 371111.048, 1.58096940551e+14, 6.21306051411e+13, 1.5809669934e+14, 0.0103240028858, 45.8129131478, 0.000101720378528, 9.3479079977e+13, 62389.984375
T0.3_v1000_chi300, 252.181, 583.857, 369892.477, 1.87568433461e+14, 8.75970602937e+13, 1.87555595776e+14, 0.00887484222845, 32.3105704528, 8.45347714044e-07, 1.16321691693e+14, 82128.890625
