Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T0.3_v1000_chi300_cond, 25.512, 13.411, 6511.378, 1.27210276091e+17, 1378186432.0, 1.27210276055e+17, 1.84831807137, 19.7527754738, 3.79724658384e-08, 3.97879076877e+15, 15293286.9738
T0.3_v1000_chi300_cond, 36.569, 36.336, 6416.412, 5.67985985468e+16, 531931432.0, 5.67985983097e+16, 0.785911681757, 13.4107361903, 1.55921189293e-08, 3.07373620637e+15, 5246071.5
T0.3_v1000_chi300_cond, 60.579, 45.711, 8710.523, 4.79617757029e+16, 466559408.0, 4.7961775651e+16, 1.2730234807, 18.5411257179, 3.23974822525e-08, 1.89273824328e+15, 8845160.51038
T0.3_v1000_chi300_cond, 110.202, 96.247, 10202.101, 1.35941643982e+16, 108998390.0, 1.3594163231e+16, 0.528995467289, 14.4433122762, 6.96654922638e-09, 9.58559290467e+14, 1276176.625
T3_v3000_chi3000_cond, 19.503, 35.485, 12444.219, 4.91105184347e+15, 923978414517.0, 4.91105175438e+15, 0.0198109922756, 48.4192336646, 2.62513881422e-06, 2.2836682701e+15, 1145874.0
T3_v3000_chi3000_cond, 4.038, 27.877, 72483.97, 5.64638937867e+16, 686497360.0, 5.6463891791e+16, 4.16004256708, 12.643397565, 1.22568399785e-06, 1.13550326165e+15, 27502.4657687
T3_v3000_chi3000_cond, 42.02, 47.043, 14028.481, 5.02794948843e+16, 742229424.0, 5.02794948646e+16, 1.23036812153, 21.3242204837, 2.5017159011e-08, 2.02806956479e+15, 10666722.7298
T3_v3000_chi3000_cond, 39.457, 49.548, 14208.958, 3.46975483958e+17, 8912928704.0, 3.46975483794e+17, 14.0638525861, 15.1536006451, 0.0508312190764, 4.53652027251e+15, 54001210.4071
T1_v1700_chi1000_cond, 13.748, 24.368, 11680.116, 7.01442065438e+15, 993433805771.0, 7.01441996709e+15, 0.0361679518791, 39.7988723259, 3.5158311637e-08, 2.48906387794e+15, 917915.0
T1_v1700_chi1000_cond, 20.887, 25.731, 10758.753, 4.28421491055e+16, 630999208.0, 4.28421490518e+16, 0.657810999947, 15.1743608614, 8.26204782367e-09, 2.61070706692e+15, 38350918.0
T1_v1700_chi1000_cond, 28.293, 29.713, 10140.807, 2.22902381254e+17, 2666055392.0, 2.22902381107e+17, 6.5196984574, 13.8393633286, 9.07132149894e-05, 3.69499664966e+15, 29867646.081
T1_v1700_chi1000_cond, 37.181, 32.339, 9346.278, 1.49384381689e+17, 2164795648.0, 1.49384381608e+17, 7.25994529799, 22.442455372, 2.1587842447e-07, 2.37876983156e+15, 5362.82201193
T0.3_v1000_chi300, 104.489, 76.419, 12078.062, 1.94487325703e+16, 3143287792.0, 1.94487322511e+16, 0.338671171124, 24.8671303078, 4.01321265109e-09, 1.84633650588e+15, 7182311.0
T0.3_v1000_chi300, 136.807, 100.359, 12268.271, 1.76763114338e+16, 75667916.0, 1.76763101989e+16, 0.334692479869, 22.35087398, 2.68557953653e-09, 1.6912463448e+15, 6231158.0
T0.3_v1000_chi300, 150.137, 88.454, 12028.756, 1.29789470379e+16, 858687744.0, 1.29789371902e+16, 0.24279317277, 15.5523765709, 2.98486385608e-09, 1.53258501271e+15, 4806712.5
T0.3_v1000_chi300, 199.603, 141.795, 14567.942, 3.32694662011e+15, 5.06809319823e+12, 3.32694652777e+15, 0.0787681727584, 37.5958281435, 5.55161661087e-08, 7.82617865771e+14, 8118162.875
T3_v3000_chi3000, 74.614, 88.238, 11120.634, 2.6948494163e+16, 4772727672.0, 2.69484941276e+16, 0.482729168511, 34.9871094113, 2.01303959058e-08, 2.02029859472e+15, 1114740.75
T3_v3000_chi3000, 105.179, 82.656, 11451.087, 2.18063859312e+16, 169421916.0, 2.18063851946e+16, 0.474184329192, 12.7208572201, 4.67172101004e-09, 1.65445434524e+15, 773680.75
T3_v3000_chi3000, 102.91, 85.876, 11312.971, 2.39503610637e+16, 178576344.0, 2.39503609858e+16, 0.698207138781, 29.3417010101, 7.73080244265e-09, 1.4024877929e+15, 6621160.0
T3_v3000_chi3000, 118.068, 95.088, 11904.586, 9.32052239871e+15, 92285312.0, 9.3205223604e+15, 0.342299356705, 19.4157108496, 4.96742041944e-09, 8.7861020552e+14, 3597658.5
T1_v1700_chi1000, 85.949, 91.304, 11514.003, 4.95553487967e+16, 430372832.0, 4.95553482499e+16, 1.43536300511, 27.4432536692, 2.31771353221e-08, 1.81201508776e+15, 18965352.408
T1_v1700_chi1000, 118.991, 103.237, 12571.661, 2.57039079252e+16, 396780444.0, 2.57039079059e+16, 0.683065547176, 27.5307940743, 9.49881528989e-09, 1.52738192209e+15, 8309928.0
T1_v1700_chi1000, 129.483, 88.65, 12130.768, 2.26727673973e+16, 181953664.0, 2.26727657422e+16, 0.702897694131, 16.6946075623, 1.10158761002e-08, 1.32175085622e+15, 5962618.75
T1_v1700_chi1000, 131.859, 123.018, 12825.537, 7.71212786605e+15, 1003358662.0, 7.7121276746e+15, 0.270526251615, 19.9246677889, 2.92123913948e-09, 8.4874888771e+14, 2231522.0
HC_v1000_chi300_cond, 170.25, 127.505, 10745.289, 5.56663396488e+16, 1.03168121638e+14, 5.56663396025e+16, 0.0304970144871, 43.6521708014, 3.94115867969e-05, 2.14220888196e+16, 8662840.0
HC_v1000_chi300_cond, 180.928, 128.526, 10719.442, 3.79166383831e+16, 2.56365355567e+14, 3.79166375513e+16, 0.0200199852326, 42.3034064639, 1.04494284602e-05, 1.75553836231e+16, 8764726.0
HC_v1000_chi300_cond, 256.893, 188.484, 11468.976, 3.88890989143e+16, 4.53700888482e+13, 3.88890988716e+16, 0.0437860386344, 45.9357537609, 3.25393076147e-05, 1.25500559361e+16, 182179998.0
HC_v1000_chi300_cond, 368.26, 286.66, 11671.824, 3.59624034825e+16, 1.20033115315e+12, 3.59624015522e+16, 0.10372490622, 30.5780409384, 2.19960745035e-08, 7.21145704523e+15, 60805065.0
HC_v1700_chi1000_cond, 57.11, 53.795, 15105.131, 1.05561708017e+18, 12679636480.0, 1.05561707885e+18, 2.82344524154, 11.4249243769, 8.7501676127e-08, 2.58712773129e+16, 52689854.0585
HC_v1700_chi1000_cond, 83.003, 58.239, 10130.198, 3.17400313967e+17, 2891551168.0, 3.1740031396e+17, 0.495386970621, 39.4315780749, 1.98629567127e-07, 2.3386449581e+16, 16413756.0
HC_v1700_chi1000_cond, 74.508, 74.178, 12512.561, 2.30075333221e+17, 2977538112.0, 2.30075333179e+17, 2.18846155646, 16.0675175296, 5.64431426042e-08, 6.5096827067e+15, 4455117.2599
HC_v1700_chi1000_cond, 75.131, 73.756, 12593.864, 2.23857565852e+17, 2865129888.0, 2.23857564811e+17, 2.17539291801, 13.7573980862, 2.49777563965e-07, 6.35590781501e+15, 4252933.53115
HC_v3000_chi3000_cond, 46.615, 28.476, 21896.813, 2.94364759451e+17, 25245347968.0, 2.94364759432e+17, 0.441514026295, 19.3805774833, 1.71701762808e-08, 2.34252960641e+16, 338043760.0
HC_v3000_chi3000_cond, 43.763, 33.409, 15019.005, 9.58531662186e+17, 13629057024.0, 9.58531662175e+17, 1.85395005676, 25.6330304752, 4.90556268939e-08, 2.99252304352e+16, 105308029.281
HC_v3000_chi3000_cond, 58.078, 53.41, 14229.6, 9.90434407881e+17, 12728500480.0, 9.90434406247e+17, 2.83036702528, 14.5435058224, 9.23217715609e-08, 2.42414638659e+16, 50878353.401
HC_v3000_chi3000_cond, 62.29, 61.434, 11461.208, 5.48227656273e+17, 8602984448.0, 5.4822765553e+17, 2.45521992401, 19.5849407518, 4.42852776672e-07, 1.45199206278e+16, 9044566.93151
LowCond_v1700_chi300_cond, 47.382, 52.488, 5611.872, 1.09060135873e+17, 937933776.0, 1.09060135823e+17, 1.70116271152, 19.4949566836, 2.59036121442e-08, 3.58782022367e+15, 14169540.9269
LowCond_v1700_chi300_cond, 67.73, 56.007, 9764.778, 8.79525560851e+16, 928189824.0, 8.79525559197e+16, 1.76736038642, 14.1768985057, 6.32698371472e-08, 2.82668485465e+15, 32009958.6151
LowCond_v1700_chi300_cond, 77.376, 76.452, 10930.716, 6.24034508078e+16, 664940520.0, 6.24034495954e+16, 1.65485305868, 13.4224793326, 3.15760444458e-08, 2.08806624642e+15, 13243558.7498
LowCond_v1700_chi300_cond, 119.836, 108.125, 11715.647, 2.61565015167e+16, 269536564.0, 2.61565002601e+16, 1.49102612013, 10.797421566, 3.18765314145e-08, 9.33821915063e+14, 9286477.7528
T0.3_v1700_chi300_cond, 23.557, 30.1, 11801.248, 5.84291823392e+15, 7.66498367907e+12, 5.8429180574e+15, 0.0264996439634, 37.8490972358, 2.08362234921e-07, 2.39758600971e+15, 1042567.5
T0.3_v1700_chi300_cond, 43.428, 38.666, 7551.775, 4.34293089966e+16, 540930416.0, 4.34293089257e+16, 0.788033862286, 19.8289848306, 1.54138821706e-08, 2.34602658562e+15, 3884574.5
T0.3_v1700_chi300_cond, 63.811, 61.504, 9599.112, 7.78936975741e+16, 559766512.0, 7.7893697548e+16, 2.03336215204, 18.0889686487, 2.28897278909e-08, 2.30114015383e+15, 354235.423673
T0.3_v1700_chi300_cond, 79.371, 77.182, 9445.733, 8.89440230457e+16, 1224295136.0, 8.89440230029e+16, 3.92892626951, 15.4885903394, 1.69704887183e-05, 1.83845396415e+15, 19576.519831
T0.3_v3000_chi300_cond, 14.079, 35.457, 12537.425, 3.72981688866e+15, 983655109515.0, 3.72981664126e+15, 0.0109029583457, 49.9103854477, 8.85202798124e-06, 2.16612311439e+15, 1414858.5
T0.3_v3000_chi300_cond, 84.872, 85.395, 13578.203, 1.20781509275e+16, 2381528608.0, 1.20781508695e+16, 0.124920333457, 24.7798089602, 2.27875115999e-09, 2.16655184161e+15, 15490587.75
T0.3_v3000_chi300_cond, 124.672, 62.176, 13019.739, 1.35340204682e+17, 4602692976.0, 1.35340204633e+17, 11.3677323175, 19.2068535629, 0.0340460562368, 1.86854636056e+15, 1841179.87341
T0.3_v3000_chi300_cond, 176.009, 169.224, 10984.311, 1.49392731072e+17, 2327499456.0, 1.49392731063e+17, 7.76116170566, 18.8688419129, 7.27152254223e-05, 2.3230363423e+15, 13920.984937
T3_v860_chi3000_cond, 7.968, 27.292, 10360.384, 2.73194873249e+16, 2803547228.0, 2.73194871929e+16, 0.255240939437, 31.7378534131, 5.29078103551e-09, 3.12284544379e+15, 8915471.5
T3_v860_chi3000_cond, 6.512, 21.396, 5273.273, 1.54738493526e+16, 128720088.0, 1.54738493449e+16, 0.228470574079, 24.4967965715, 3.0666176265e-09, 1.90050190532e+15, 6752339.25
T3_v860_chi3000_cond, 10.883, 11.436, 10851.913, 1.6740559021e+17, 2185180192.0, 1.67405589909e+17, 5.40853518649, 15.9267935241, 1.70215663147e-05, 2.99243734842e+15, 2479080.7851
T3_v860_chi3000_cond, 17.063, 8.447, 9691.714, 7.54925111894e+16, 1213512000.0, 7.54925111877e+16, 4.08680388289, 20.3426492056, 1.7892022087e-05, 1.53107347048e+15, 28776.1868561
T10_v1500_chi10000_cond, 6.207, 32.441, 13247.263, 8.67654967473e+16, 1076519904.0, 8.67654961801e+16, 1.16724613013, 17.6868612484, 2.06712540418e-08, 3.62064351885e+15, 21346460.7714
