Wavelength,Flux
1240.07, 1.04345
1240.16, 1.01286
1240.25, 0.942991
1240.34, 0.957239
1240.43, 1.03970
1240.52, 1.00068
1240.61, 1.13560
1240.70, 0.964781
1240.80, 1.10245
1240.89, 1.04564
1240.98, 1.20602
1241.07, 1.09243
1241.16, 1.09042
1241.25, 1.03870
1241.34, 1.03673
1241.43, 1.05912
1241.52, 1.02579
1241.61, 1.11764
1241.70, 0.998055
1241.79, 1.01241
1241.88, 0.990265
1241.97, 0.985083
1242.06, 0.978789
1242.15, 1.01260
1242.24, 1.01030
1242.33, 1.09890
1242.42, 0.866622
1242.51, 0.899553
1242.60, 0.928789
1242.69, 0.948440
1242.78, 0.989284
1242.87, 0.903364
1242.96, 0.919162
1243.05, 0.880157
1243.14, 0.886030
1243.23, 0.888406
1243.32, 0.878370
1243.41, 0.950874
1243.50, 0.885286
1243.59, 0.832834
1243.69, 0.846664
1243.78, 0.965994
1243.87, 0.830326
1243.96, 1.13766
1244.05, 0.991081
1244.14, 0.917046
1244.23, 0.939544
1244.32, 0.885408
1244.41, 0.936918
1244.50, 0.968517
1244.59, 1.02995
1244.68, 0.986185
1244.77, 0.972858
1244.86, 0.851544
1244.95, 1.00318
1245.04, 0.939695
1245.13, 0.938295
1245.22, 0.964650
1245.31, 1.03576
1245.40, 1.03150
1245.49, 1.05855
1245.58, 1.08624
1245.67, 0.937059
1245.76, 0.937658
1245.85, 1.05679
1245.94, 0.921926
1246.03, 0.865622
1246.12, 0.968290
1246.21, 0.899193
1246.30, 0.983183
1246.39, 1.01468
1246.49, 0.901719
1246.58, 0.899521
1246.67, 1.00757
1246.76, 0.842482
1246.85, 0.951700
1246.94, 0.953002
1247.03, 0.872682
1247.12, 0.885385
1247.21, 0.778626
1247.30, 0.945260
1247.39, 1.07659
1247.48, 1.09574
1247.57, 1.05062
1247.66, 1.21484
1247.75, 1.03289
1247.84, 0.985828
1247.93, 1.00201
1248.02, 0.956793
1248.11, 0.844039
1248.20, 0.958183
1248.29, 1.00254
1248.38, 1.10792
1248.47, 0.994192
1248.56, 0.990647
1248.65, 1.03962
1248.74, 0.818809
1248.83, 1.01699
1248.92, 0.939925
1249.01, 0.926295
1249.10, 0.843683
1249.19, 0.972636
1249.28, 0.997421
1249.38, 0.953768
1249.47, 0.872532
1249.56, 0.860043
1249.65, 0.878322
1249.74, 0.877089
1249.83, 0.755997
1249.92, 0.866378
1250.01, 0.978694
1250.10, 0.764883
1250.19, 0.685915
1250.28, 0.732503
1250.37, 0.762969
1250.46, 0.648006
1250.55, 0.763735
1250.64, 0.901774
1250.73, 0.995380
1250.82, 1.00052
1250.91, 0.963196
1251.00, 1.06189
1251.09, 0.976214
1251.18, 0.988805
1251.27, 1.08986
1251.36, 0.942668
1251.45, 0.999380
1251.54, 0.921507
1251.63, 1.03190
1251.72, 1.00421
1251.81, 1.01174
1251.90, 1.00412
1251.99, 0.998125
1252.08, 1.03686
1252.18, 0.999637
1252.27, 0.951154
1252.36, 0.736407
1252.45, 0.868133
1252.54, 0.982553
1252.63, 1.08194
1252.72, 0.929232
1252.81, 0.935906
1252.90, 0.833865
1252.99, 0.919401
1253.08, 0.928996
1253.17, 0.829086
1253.26, 0.893524
1253.35, 1.02772
1253.44, 0.725109
1253.53, 0.844126
1253.62, 0.834914
1253.71, 0.863552
1253.80, 0.870872
1253.89, 1.02173
1253.98, 0.964821
1254.07, 1.04532
1254.16, 0.953696
1254.25, 1.01122
1254.34, 0.941593
1254.43, 0.974905
1254.52, 1.01733
1254.61, 1.04609
1254.70, 1.02797
1254.79, 1.08397
1254.88, 1.05775
1254.97, 0.997997
1255.07, 1.09466
1255.16, 1.13208
1255.25, 1.11571
1255.34, 1.03916
1255.43, 1.15038
1255.52, 1.00465
1255.61, 1.04025
1255.70, 1.02045
1255.79, 0.994196
1255.88, 0.988013
1255.97, 0.969923
1256.06, 0.986781
1256.15, 1.03310
1256.24, 1.12092
1256.33, 1.01719
1256.42, 1.05688
1256.51, 1.01527
1256.60, 1.08301
1256.69, 0.999956
1256.78, 1.00329
1256.87, 0.979109
1256.96, 1.07895
1257.05, 1.06543
1257.14, 1.00042
1257.23, 0.993421
1257.32, 1.02721
1257.41, 1.06042
1257.50, 1.01370
1257.59, 0.937779
1257.68, 1.07091
1257.77, 0.901800
1257.87, 1.05880
1257.96, 0.910466
1258.05, 0.852381
1258.14, 0.788377
1258.23, 0.811899
1258.32, 0.839893
1258.41, 0.792887
1258.50, 0.771498
1258.59, 0.713686
1258.68, 0.486415
1258.77, 0.437707
1258.86, 0.284619
1258.95, 0.130605
1259.04, 0.227087
1259.13, 0.212338
1259.22, 0.102384
1259.31, 0.0565823
1259.40, 0.0854186
1259.49, 0.0997825
1259.58, 0.161101
1259.67, 0.0810665
1259.76, 0.0912529
1259.85, 0.0737377
1259.94, 0.0400404
1260.03, 0.0649701
1260.12, 0.0961139
1260.21, 0.158653
1260.30, 0.335864
1260.39, 0.482238
1260.48, 0.394679
1260.57, 0.513378
1260.67, 0.689839
1260.76, 0.764645
1260.85, 0.798451
1260.94, 0.938252
1261.03, 0.933422
1261.12, 0.979095
1261.21, 0.824187
1261.30, 0.838889
1261.39, 0.663258
1261.48, 0.677751
1261.57, 0.551249
1261.66, 0.244332
1261.75, 0.240699
1261.84, 0.137257
1261.93, 0.133131
1262.02, 0.281746
1262.11, 0.456692
1262.20, 0.530819
1262.29, 0.593056
1262.38, 0.797992
1262.47, 0.861477
1262.56, 0.935779
1262.65, 0.914495
1262.74, 0.920811
1262.83, 0.949667
1262.92, 1.05110
1263.01, 0.893865
1263.10, 0.905082
1263.19, 0.989913
1263.28, 1.08438
1263.37, 1.03855
1263.46, 1.00319
1263.56, 1.09490
1263.65, 1.12669
1263.74, 0.959039
1263.83, 1.00404
1263.92, 0.808841
1264.01, 0.918327
1264.10, 0.835922
1264.19, 0.906420
1264.28, 0.820736
1264.37, 0.796648
1264.46, 0.815216
1264.55, 0.760264
1264.64, 0.636921
1264.73, 0.602419
1264.82, 0.446082
